Number,Element,R,G,B,Hexadecimal Web Color
1,H,255,255,255,FFFFFF
1,D,255,255,192,FFFFC0
1,T,255,255,160,FFFFA0
2,HE,217,255,255,D9FFFF
3,LI,204,128,255,CC80FF
4,BE,194,255,0,C2FF00
5,B,255,181,181,FFB5B5
6,C,144,144,144,909090
6,C-13,80,80,80,505050
6,C-14,64,64,64,404040
7,N,48,80,248,3050F8
7,N-15,16,80,80,105050
8,O,255,13,13,FF0D0D
9,F,144,224,80,9E+051
10,NE,179,227,245,B3E3F5
11,NA,171,92,242,AB5CF2
12,MG,138,255,0,8AFF00
13,AL,191,166,166,BFA6A6
14,SI,240,200,160,F0C8A0
15,P,255,128,0,FF8000
16,S,255,255,48,FFFF30
17,CL,31,240,31,1FF01F
18,AR,128,209,227,80D1E3
19,K,143,64,212,8F40D4
20,CA,61,255,0,3DFF00
21,SC,230,230,230,E6E6E6
22,TI,191,194,199,BFC2C7
23,V,166,166,171,A6A6AB
24,CR,138,153,199,8A99C7
25,MN,156,122,199,9C7AC7
26,FE,224,102,51,E06633
27,CO,240,144,160,F090A0
28,NI,80,208,80,50D050
29,CU,200,128,51,C88033
30,ZN,125,128,176,7D80B0
31,GA,194,143,143,C28F8F
32,GE,102,143,143,668F8F
33,AS,189,128,227,BD80E3
34,SE,255,161,0,FFA100
35,BR,166,41,41,A62929
36,KR,92,184,209,5CB8D1
37,RB,112,46,176,702EB0
38,SR,0,255,0,00FF00
39,Y,148,255,255,94FFFF
40,ZR,148,224,224,94E0E0
41,NB,115,194,201,73C2C9
42,MO,84,181,181,54B5B5
43,TC,59,158,158,3B9E9E
44,RU,36,143,143,248F8F
45,RH,10,125,140,0A7D8C
46,PD,0,105,133,6985
47,AG,192,192,192,C0C0C0
48,CD,255,217,143,FFD98F
49,IN,166,117,115,A67573
50,SN,102,128,128,668080
51,SB,158,99,181,9E63B5
52,TE,212,122,0,D47A00
53,I,148,0,148,940094
54,XE,66,158,176,429EB0
55,CS,87,23,143,57178F
56,BA,0,201,0,00C900
57,LA,112,212,255,70D4FF
58,CE,255,255,199,FFFFC7
59,PR,217,255,199,D9FFC7
60,ND,199,255,199,C7FFC7
61,PM,163,255,199,A3FFC7
62,SM,143,255,199,8FFFC7
63,EU,97,255,199,61FFC7
64,GD,69,255,199,45FFC7
65,TB,48,255,199,30FFC7
66,DY,31,255,199,1FFFC7
67,HO,0,255,156,00FF9C
68,ER,0,230,117,0
69,TM,0,212,82,00D452
70,YB,0,191,56,00BF38
71,LU,0,171,36,00AB24
72,HF,77,194,255,4DC2FF
73,TA,77,166,255,4DA6FF
74,W,33,148,214,2194D6
75,RE,38,125,171,267DAB
76,OS,38,102,150,266696
77,IR,23,84,135,175487
78,PT,208,208,224,D0D0E0
79,AU,255,209,35,FFD123
80,HG,184,184,208,B8B8D0
81,TL,166,84,77,A6544D
82,PB,87,89,97,575961
83,BI,158,79,181,9E4FB5
84,PO,171,92,0,AB5C00
85,AT,117,79,69,754F45
86,RN,66,130,150,428296
87,FR,66,0,102,420066
88,RA,0,125,0,007D00
89,AC,112,171,250,70ABFA
90,TH,0,186,255,00BAFF
91,PA,0,161,255,00A1FF
92,U,0,143,255,008FFF
93,NP,0,128,255,0080FF
94,PU,0,107,255,006BFF
95,AM,84,92,242,545CF2
96,CM,120,92,227,785CE3
97,BK,138,79,227,8A4FE3
98,CF,161,54,212,A136D4
99,ES,179,31,212,B31FD4
100,FM,179,31,186,B31FBA
101,MD,179,13,166,B30DA6
102,NO,189,13,135,BD0D87
103,LR,199,0,102,C70066
104,RF,204,0,89,CC0059
105,DB,209,0,79,D1004F
106,SG,217,0,69,D90045
107,BH,224,0,56,E00038
108,HS,230,0,46,E6002E
109,MT,235,0,38,EB0026
